_id,case_no,ap_case_defn_key,status_dttm,status,code,value,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
8553,V266070,1013,2015-10-29 10:09:09,Closed,116.2,N/A,Unsafe and Dangerous,39,,Baird,ST,Dorchester,MA,02124,14,39 BAIRD ST,,DORCHESTER,MA,02124,7594,42.2860200003944,-71.09284000130508,"(42.2860200003944, -71.09284000130508)"
8554,V266053,1013,2015-10-29 09:33:30,Closed,116.2,N/A,Unsafe and Dangerous,43,,Dale,ST,Roxbury,MA,02119,12,3 Arcadia St,,ROXBURY,MA,02119-3107,45736,42.32094999972248,-71.08418000151556,"(42.32094999972248, -71.08418000151556)"
8555,V266039,1013,2015-10-29 08:52:42,Closed,116.2,N/A,Unsafe and Dangerous,222,,Woodrow,AV,Dorchester,MA,02124,14,222 WOODROW AVE,,DORCHESTER,MA,02124,151887,42.285699999798716,-71.08909000139973,"(42.285699999798716, -71.08909000139973)"
8556,V266036,1013,2015-10-29 08:49:33,Closed,116.2,N/A,Unsafe and Dangerous,22,,Woolson,ST,Mattapan,MA,02126,14,325 Blue Hill AVe,,Milton,MA,02186,152127,42.28209000031332,-71.09094000170658,"(42.28209000031332, -71.09094000170658)"
8557,V266033,1013,2015-10-29 08:45:26,Closed,116.2,N/A,Unsafe and Dangerous,2,,Harlem,ST,Dorchester,MA,02121,14,19 POWELLTON RD,,DORCHESTER,MA,02121,69485,42.30018999991176,-71.08200000207586,"(42.30018999991176, -71.08200000207586)"
8558,V266032,1013,2015-10-29 08:42:23,Closed,116.2,N/A,Unsafe and Dangerous,60,,Norwell,ST,Dorchester,MA,02121,14,60 NORWELL ST APT 2,,DORCHESTER,MA,02121-2141,104137,42.30056000011852,-71.07868000119868,"(42.30056000011852, -71.07868000119868)"
8559,V266026,1013,2015-10-29 08:38:03,Closed,116.2,N/A,Unsafe and Dangerous,7,,Havelock,ST,Dorchester,MA,02124,14,"7 Havelock Street, Unit 2",,Dorchester Center,MA,02124,71301,42.2863199994644,-71.09139000035663,"(42.2863199994644, -71.09139000035663)"
8560,V247498,1013,2015-10-28 10:30:47,Closed,105.1,N/A,Failure to Obtain Permit,343,,Commercial,ST,Boston,MA,02109,03,7 Drydock Avenue,Suite 2050,Boston,MA,02214,36414,42.365570000155174,-71.05087000038789,"(42.365570000155174, -71.05087000038789)"
8561,V243672,1013,2015-10-28 10:03:52,Closed,111.1,N/A,Certificate of Occupancy,2,,Snelling,PL,Boston,MA,02113,03,105 NORTH WASHINGTON ST,,Boston,MA,02114-2771,128194,42.366730000417064,-71.05488000143329,"(42.366730000417064, -71.05488000143329)"
8562,V234082,1013,2015-10-28 10:02:36,Closed,1001.3.3,N/A,,11,,Henchman,ST,Boston,MA,02113,03,11 Henchman Street Apt 1,,Boston,MA,02113,72813,42.367109999853014,-71.05360000077037,"(42.367109999853014, -71.05360000077037)"
8563,V243470,1013,2015-10-28 10:01:41,Closed,116.2,N/A,Unsafe and Dangerous,165,,I,ST,South Boston,MA,02127,07,26 CENTENNIAL ST,,PLYMOUTH,MA,02360-4115,77810,42.332479999839194,-71.04003000155278,"(42.332479999839194, -71.04003000155278)"
8564,V265810,1013,2015-10-28 08:19:49,Closed,116.2,N/A,Unsafe and Dangerous,15,,Parkman,ST,Boston,MA,02114,03,UTIL & ENG DEPT WEH 205,55 Fruit St,BOSTON,MA,02114-3104,352677,42.36262140779634,-71.06826452366371,"(42.36262140779634, -71.06826452366371)"
8565,V265545,1013,2015-10-27 09:47:39,Closed,116.2,N/A,Unsafe and Dangerous,389,,Washington,ST,Dorchester,MA,02124,17,805 CADDINGTON AVE,,SILVER SPRINGS,MD,20901-1108,146057,42.29792100014528,-71.07309600066345,"(42.29792100014528, -71.07309600066345)"
8566,V265555,1013,2015-10-27 09:30:20,Closed,116.2,N/A,Unsafe and Dangerous,123,125,Richmond,ST,Dorchester,MA,02124,17,125 RICHMOND ST,,DORCHESTER,MA,02124,115801,42.275069000165516,-71.06263400094777,"(42.275069000165516, -71.06263400094777)"
8567,V265529,1013,2015-10-27 08:56:27,Closed,116.2,N/A,Unsafe and Dangerous,54,,Manthorne,RD,West Roxbury,MA,02132,20,54 MANTHORNE RD,,WEST ROXBURY,MA,02132,89167,42.28888999980882,-71.15135000067681,"(42.28888999980882, -71.15135000067681)"
8568,V265517,1013,2015-10-27 08:35:51,Closed,116.2,N/A,Unsafe and Dangerous,3,,Stillman,PL,Boston,MA,02113,03,5 Fremont St,,Winthrop,MA,02152,130552,42.36407000049216,-71.05771000085016,"(42.36407000049216, -71.05771000085016)"
8569,V265385,1013,2015-10-26 11:52:34,Closed,116.1,N/A,Unsafe and Dangerous,373,,Commonwealth,AV,Boston,MA,02115,05,131 PARK DR,C/O MODICA ASSOC STE 1,BOSTON,MA,02215-5187,40433,42.34946000049482,-71.08925000149327,"(42.34946000049482, -71.08925000149327)"
8570,V265350,1013,2015-10-26 10:35:37,Closed,105.1,N/A,Failure to Obtain Permit,27,,Washington,ST,Charlestown,MA,02129,02,27 WASHINGTON ST,,CHARLESTOWN,MA,02129,145787,42.37305799989321,-71.06451200152964,"(42.37305799989321, -71.06451200152964)"
8571,V264048,1013,2015-10-26 09:17:25,Closed,105.1,N/A,Failure to Obtain Permit,2597,2601,Washington,ST,Roxbury,MA,02119,09,2597 Washington St,,Roxbury,MA,02119,144513,42.32560899942914,-71.08822700116592,"(42.32560899942914, -71.08822700116592)"
8572,V265067,1013,2015-10-23 13:29:38,Closed,104.6,N/A,Right of Entry,61,63,Day,ST,Jamaica Plain,MA,02130,10,668 LAGRANGE STREET,,WEST ROXBURY,MA,02132,46721,42.324970999787794,-71.10795700139876,"(42.324970999787794, -71.10795700139876)"
8573,V265062,1013,2015-10-23 11:59:00,Closed,104.6,N/A,Right of Entry,2,6,Guild,ST,Roxbury,MA,02119,09,2 Guild St,Unit 2,ROXBURY,MA,02119,67718,42.3260740003958,-71.08801700035453,"(42.3260740003958, -71.08801700035453)"
8574,V265033,1013,2015-10-23 10:26:57,Closed,105.1,N/A,Failure to Obtain Permit,300,,Main,ST,Charlestown,MA,02129,02,c/o Peabody Properties,338 Main St,Charlestown,MA,02129,167282,42.3777523247518,-71.06756892955721,"(42.3777523247518, -71.06756892955721)"
8575,V265023,1013,2015-10-23 10:08:28,Closed,105.1,N/A,Failure to Obtain Permit,20,,Child,ST,Jamaica Plain,MA,02130,11,20 CHILD St,,JAMAICA PLAIN,MA,02130,32172,42.30698826293429,-71.11407441494872,"(42.30698826293429, -71.11407441494872)"
8576,V264978,1013,2015-10-23 09:19:54,Closed,107.4,N/A,Failed to comply w permit term,49,,Louder's,LN,Jamaica Plain,MA,02130,19,53 LOUDER'S LANE,,BOSTON,MA,02130,341591,42.305360030902804,-71.12758412355184,"(42.305360030902804, -71.12758412355184)"
8577,V264832,1013,2015-10-22 11:58:26,Closed,1014.2(3),N/A,Exit Access,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8578,V264829,1013,2015-10-22 11:55:22,Closed,713.3,N/A,Fire Resistance; Rated Walls,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8579,V264825,1013,2015-10-22 11:40:51,Closed,110.0,N/A,Application for Permit,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8580,V264823,1013,2015-10-22 11:35:32,Closed,420.2,N/A,Seperation Walls,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8581,V264819,1013,2015-10-22 11:30:57,Closed,116.1,N/A,Unsafe and Dangerous,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8582,V264818,1013,2015-10-22 11:26:20,Closed,111.12,N/A,Revocation of Certificate,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8583,V264817,1013,2015-10-22 11:23:20,Closed,111.4,N/A,Revocation of Cert. of Occ.,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8584,V264815,1013,2015-10-22 11:19:47,Closed,1006,N/A,Means of Egress Illumination,84,84A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,352710,42.35080960041124,-71.06128115558005,"(42.35080960041124, -71.06128115558005)"
8585,V264790,1013,2015-10-22 11:11:00,Closed,3307.1,N/A,Protection of Adj. Property,20,,F,ST,South Boston,MA,02127,06,133 MERRIMACK ST,,LOWELL,MA,01852-1724,55429,42.333849999710736,-71.05146000053905,"(42.333849999710736, -71.05146000053905)"
8586,V264806,1013,2015-10-22 11:01:47,Closed,111.12,N/A,Revocation of Certificate,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8587,V264803,1013,2015-10-22 10:56:23,Closed,111.4,N/A,Revocation of Cert. of Occ.,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8588,V264802,1013,2015-10-22 10:52:32,Closed,713.3,N/A,Fire Resistance; Rated Walls,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8589,V264799,1013,2015-10-22 10:48:28,Closed,1006,N/A,Means of Egress Illumination,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8590,V264785,1013,2015-10-22 10:28:15,Closed,105.1,N/A,Failure to Obtain Permit,1012,,Bennington,ST,East Boston,MA,02128,01,1012 BENNINGTON ST,,EAST BOSTON,MA,02128-1139,162035,42.387115784530934,-71.00630954814206,"(42.387115784530934, -71.00630954814206)"
8591,V264763,1013,2015-10-22 09:53:36,Closed,105.1,N/A,Failure to Obtain Permit,25,,Woodbrier,RD,West Roxbury,MA,02132,20,25 WOODBRIER RD,,WEST ROXBURY,MA,02132,151445,42.271970000071896,-71.16029000115817,"(42.271970000071896, -71.16029000115817)"
8592,V264753,1013,2015-10-22 09:43:26,Closed,1014.2(3),N/A,Exit Access,84,86,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166030,42.350783266578354,-71.06131128461861,"(42.350783266578354, -71.06131128461861)"
8593,V264750,1013,2015-10-22 09:40:29,Closed,110.0,N/A,Application for Permit,84,86,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166030,42.350783266578354,-71.06131128461861,"(42.350783266578354, -71.06131128461861)"
8594,V264726,1013,2015-10-22 09:07:40,Closed,400.8,N/A,Uses not permitted,84,86,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166030,42.350783266578354,-71.06131128461861,"(42.350783266578354, -71.06131128461861)"
8595,V264726,1013,2015-10-22 09:07:40,Closed,110.12,N/A,Mechanical Execution of Work,84,86,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166030,42.350783266578354,-71.06131128461861,"(42.350783266578354, -71.06131128461861)"
8596,V264726,1013,2015-10-22 09:07:40,Closed,110.14,N/A,Electrical Connections,84,86,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166030,42.350783266578354,-71.06131128461861,"(42.350783266578354, -71.06131128461861)"
8597,V264726,1013,2015-10-22 09:07:40,Closed,110.7,N/A,Periodic Inspections,84,86,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166030,42.350783266578354,-71.06131128461861,"(42.350783266578354, -71.06131128461861)"
8598,V264726,1013,2015-10-22 09:07:40,Closed,110.11,N/A,Deteriorating Agents,84,86,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166030,42.350783266578354,-71.06131128461861,"(42.350783266578354, -71.06131128461861)"
8599,V264720,1013,2015-10-22 08:59:37,Closed,116.1,N/A,Unsafe and Dangerous,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8600,V264717,1013,2015-10-22 08:52:48,Closed,1014.2(3),N/A,Exit Access,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8601,V264714,1013,2015-10-22 08:49:15,Closed,420.2,N/A,Seperation Walls,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8602,V264713,1013,2015-10-22 08:44:40,Closed,110.0,N/A,Application for Permit,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8603,V264710,1013,2015-10-22 08:42:27,Closed,110.7,N/A,Periodic Inspections,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8604,V264702,1013,2015-10-22 08:39:04,Closed,115(IEBC),N/A,Unsafe bldg&equip.,86,86A,Harrison,AV,Boston,MA,02111,03,71 Rogers St,,Quincy,MA,02169,166032,42.35074307812145,-71.06128359039212,"(42.35074307812145, -71.06128359039212)"
8605,V264698,1013,2015-10-22 08:38:07,Closed,105.1,N/A,Failure to Obtain Permit,228,,Lagrange,ST,West Roxbury,MA,02132,20,228 LAGRANGE  ST,,WEST ROXBURY,MA,02132,82716,42.27621000006974,-71.15209000058533,"(42.27621000006974, -71.15209000058533)"
8606,V264697,1013,2015-10-22 08:28:09,Closed,116.2,N/A,Unsafe and Dangerous,23,25,Bowdoin,AV,Dorchester,MA,02121,14,631 SOUTH MAIN ST,,RANDOLPH,MA,02368,17410,42.30181900041723,-71.07603200121015,"(42.30181900041723, -71.07603200121015)"
8607,V264637,1013,2015-10-21 15:59:51,Closed,116.2,N/A,Unsafe and Dangerous,7,9,Esmond,ST,Dorchester,MA,02121,14,150 Charles Street,,READING,MA,01867,165041,42.29898958008599,-71.08600080982251,"(42.29898958008599, -71.08600080982251)"
8608,V264630,1013,2015-10-21 15:19:50,Closed,116.2,N/A,Unsafe and Dangerous,84,,Esmond,ST,Dorchester,MA,02121,14,84 ESMOND ST,,DORCHESTER,MA,02121-4123,54283,42.29714999958113,-71.0835000017736,"(42.29714999958113, -71.0835000017736)"
8609,V264626,1013,2015-10-21 14:55:02,Closed,116.2,N/A,Unsafe and Dangerous,13,,Schuyler,ST,Dorchester,MA,02121,12,13 Schuyler Street,Unit 2,Dorchester,MA,02121,123954,42.30825000011585,-71.0849500014747,"(42.30825000011585, -71.0849500014747)"
8610,V264620,1013,2015-10-21 14:34:15,Closed,116.2,N/A,Unsafe and Dangerous,36,38,Elm Hill,PK,Dorchester,MA,02121,12,36 ELM HILL PARK,,DORCHESTER,MA,02121-1814,53259,42.31319200010783,-71.08156400103572,"(42.31319200010783, -71.08156400103572)"
8611,V264615,1013,2015-10-21 13:52:55,Closed,116.2,N/A,Unsafe and Dangerous,19,,Roxton,ST,Dorchester,MA,02121,14,19 ROXTON ST,,DORCHESTER,MA,02121,119288,42.29820000014433,-71.07984000086515,"(42.29820000014433, -71.07984000086515)"
8612,V264613,1013,2015-10-21 13:34:31,Closed,116.2,N/A,Unsafe and Dangerous,20,,Winthrop,ST,Roxbury,MA,02119,12,C/O ROYAL BOLLING,722 MORTON ST,MATTAPAN,MA,02126-1813,151018,42.32647000008695,-71.08193000066423,"(42.32647000008695, -71.08193000066423)"
8613,V264598,1013,2015-10-21 12:23:26,Closed,116.2,N/A,Unsafe and Dangerous,181,181R,AMORY,ST,Jamaica Plain,MA,02130,11,18 Marbury Terrace,,Jamaica Plain,MA,02130,0,,,
8614,V263407,1013,2015-10-21 11:58:27,Closed,116.2,N/A,Unsafe and Dangerous,36,,Hosmer,ST,Mattapan,MA,02126,14,36 HOSMER  ST,,MATTAPAN,MA,02126,75390,42.28086000011233,-71.09007000093656,"(42.28086000011233, -71.09007000093656)"
8615,V264587,1013,2015-10-21 11:51:09,Closed,116.2,N/A,Unsafe and Dangerous,99,,Woodrow,AV,Dorchester,MA,02124,14,99 WOODROW AVE,,DORCHESTER,MA,02124,151933,42.28760000042615,-71.08269000052893,"(42.28760000042615, -71.08269000052893)"
8616,V264578,1013,2015-10-21 11:30:33,Closed,116.2,N/A,Unsafe and Dangerous,5,,Wayne,ST,Dorchester,MA,02121,12,5 Wayne St,,Dorchester,MA,02121,146686,42.30722000000453,-71.08500000075885,"(42.30722000000453, -71.08500000075885)"
8617,V264571,1013,2015-10-21 11:16:47,Closed,116.2,N/A,Unsafe and Dangerous,4,,Aspen,ST,Roxbury,MA,02119,12,4 ASPEN ST,,ROXBURY,MA,02119-2202,5571,42.323620000213644,-71.07991000143815,"(42.323620000213644, -71.07991000143815)"
8618,V264561,1013,2015-10-21 10:58:47,Closed,116.2,N/A,Unsafe and Dangerous,28,30,Michigan,AV,Dorchester,MA,02121,14,237 DEDHAM ST,,CANTON,MA,02021,95166,42.302039999836566,-71.08240000058157,"(42.302039999836566, -71.08240000058157)"
8619,V264558,1013,2015-10-21 10:54:04,Closed,116.2,N/A,Unsafe and Dangerous,15,,Catawba,ST,Roxbury,MA,02119,12,15 CATAWBA ST,,ROXBURY,MA,02119,26420,42.319989999719745,-71.08326000078029,"(42.319989999719745, -71.08326000078029)"
8620,V264555,1013,2015-10-21 10:49:40,Closed,116.2,N/A,Unsafe and Dangerous,50,,Elmore,ST,Roxbury,MA,02119,12,185 ELLISON RD,,RIEGELWOOD,NC,28456,53432,42.31966000014426,-71.09040000110326,"(42.31966000014426, -71.09040000110326)"
8621,V264547,1013,2015-10-21 10:45:40,Closed,107.4,N/A,Failed to comply w permit term,428,,Washington,ST,Dorchester,MA,02124,17,c/o House of Deliverance,424 WASHINGTON ST,DORCHESTER,MA,02124,146077,42.29670000013659,-71.07200000148013,"(42.29670000013659, -71.07200000148013)"
8622,V264546,1013,2015-10-21 10:39:51,Closed,116.2,N/A,Unsafe and Dangerous,13,,Elm,ST,Hyde Park,MA,02136,18,321 THACHER STREET,,MILTON,MA,02186,53157,42.25990999976145,-71.11827000171662,"(42.25990999976145, -71.11827000171662)"
8623,V264542,1013,2015-10-21 10:28:25,Closed,901.7.2,N/A,Maintenance,9,,Esmond,ST,Dorchester,MA,02121,14,150 CHARLES ST,,READING,MA,01867,54286,42.29901000042665,-71.0859700012968,"(42.29901000042665, -71.0859700012968)"
8624,V264532,1013,2015-10-21 10:20:44,Closed,116.2,N/A,Unsafe and Dangerous,22,,Wabon,ST,Dorchester,MA,02121,12,C/O JUDITH JORDAN,22 WABON ST,DORCHESTER,MA,02121-1202,141062,42.314440000487835,-71.08608000196767,"(42.314440000487835, -71.08608000196767)"
8625,V264526,1013,2015-10-21 10:15:58,Closed,116.2,N/A,Unsafe and Dangerous,96,,Greenwood,ST,Dorchester,MA,02121,14,"96 GREENWOOD ST, APT #1",,DORCHESTER,MA,02121,67010,42.29871000024719,-71.07956000079434,"(42.29871000024719, -71.07956000079434)"
8626,V264522,1013,2015-10-21 10:12:05,Closed,105.1,N/A,Failure to Obtain Permit,25,,Esmond,ST,Dorchester,MA,02121,14,25 ESMOND ST,,Dorchester,MA,02121,54257,42.29864599956745,-71.08549300179507,"(42.29864599956745, -71.08549300179507)"
8627,V264515,1013,2015-10-21 10:07:55,Closed,111.1,N/A,Certificate of Occupancy,258,262,Washington,ST,Dorchester,MA,02121,14,"1001 MARINA DR, UNIT 701E",,Quincy,MA,02171,146005,42.30161845297934,-71.07664142695661,"(42.30161845297934, -71.07664142695661)"
8628,V264508,1013,2015-10-21 10:01:07,Closed,1025.1,N/A,Emergency Escape,80,82,Waumbeck,ST,Dorchester,MA,02121,12,13 LAUREL ST,,ROXBURY,MA,02119,146410,42.314830000057455,-71.08964000140766,"(42.314830000057455, -71.08964000140766)"
8629,V264504,1013,2015-10-21 09:56:05,Open,1025.1,N/A,Emergency Escape,81,,Waumbeck,ST,Dorchester,MA,02121,12,81 WAUMBECK ST,,DORCHESTER,MA,02121,146411,42.31514999998199,-71.08964000137247,"(42.31514999998199, -71.08964000137247)"
8630,V264494,1013,2015-10-21 09:45:27,Closed,116.2,N/A,Unsafe and Dangerous,45,,Crawford,ST,Dorchester,MA,02121,12,46 Amesbury Street,Unit 2A,Lawrence,MA,01840,44103,42.31214999976529,-71.08635000098461,"(42.31214999976529, -71.08635000098461)"
8631,V264477,1013,2015-10-21 09:27:39,Closed,105.1,N/A,Failure to Obtain Permit,1853,1855,Dorchester,AVE,Dorchester,MA,02124,16,1853 DORCHESTER AV,,DORCHESTER,MA,02124-2426,48440,42.28766000042219,-71.06397000135348,"(42.28766000042219, -71.06397000135348)"
8632,V264458,1013,2015-10-21 09:01:49,Closed,102.8,N/A,Maintenance,88,,Mount Vernon,ST,Dorchester,MA,02125,07,3401 MAID MARIAN CIR,,KILLEEN,TX,76549,98994,42.32176000047352,-71.05472000157422,"(42.32176000047352, -71.05472000157422)"
8633,V264344,1013,2015-10-20 15:51:22,Closed,105.1,N/A,Failure to Obtain Permit,8,,Fairmount,AV,Hyde Park,MA,02136,18,619 Centre Street,,Jamaica Plain,MA,02130,232780,42.25577999968801,-71.12090000104143,"(42.25577999968801, -71.12090000104143)"
8634,V264322,1013,2015-10-20 13:48:19,Closed,116.1,N/A,Unsafe and Dangerous,8,,Newbury,ST,Boston,MA,02116,05,50 MILK ST 21FL,,BOSTON,MA,02109-5009,101992,42.352236999275384,-71.07181800169218,"(42.352236999275384, -71.07181800169218)"
8635,V264179,1013,2015-10-20 09:05:27,Closed,116.2,N/A,Unsafe and Dangerous,131,,Centre,ST,Dorchester,MA,02124,16,1436 Blue Hill Avenue,,Mattapan,MA,02126,28352,42.29163800054088,-71.06647900064394,"(42.29163800054088, -71.06647900064394)"
8636,V264170,1013,2015-10-20 08:49:14,Closed,105.1,N/A,Failure to Obtain Permit,20,,Mount Vernon,ST,Boston,MA,02108,05,89 WINCHESTER ST,,BROOKLINE,MA,02446,98542,42.35819000007888,-71.06524000145093,"(42.35819000007888, -71.06524000145093)"
8637,V264164,1013,2015-10-20 08:42:15,Closed,105.1,N/A,Failure to Obtain Permit,568,,Lagrange,ST,West Roxbury,MA,02132,20,568 Lagrange St,,West Roxbury,MA,02132,82829,42.285399999879566,-71.16356000139804,"(42.285399999879566, -71.16356000139804)"
8638,V182280,1013,2015-10-19 15:54:35,Closed,116.2,N/A,Unsafe and Dangerous,84,86,Savin Hill,AVE,Dorchester,MA,02125,13,62 Buckminster Rd.,,Brookline,MA,02445,123454,42.312326610959445,-71.05476764087548,"(42.312326610959445, -71.05476764087548)"
8639,V218731,1013,2015-10-19 15:52:19,Closed,116.2,N/A,Unsafe and Dangerous,31,,Cunningham,ST,Dorchester,MA,02125,13,30 Twilight Court,,White River Junction,VT,05001,45074,42.314500000516574,-71.07475000102684,"(42.314500000516574, -71.07475000102684)"
8640,V212652,1013,2015-10-19 15:47:54,Closed,116.2,N/A,Unsafe and Dangerous,51,,Clarkson,ST,Dorchester,MA,02125,15,51 Prospect Street,,Taunton,MA,02780,208427,42.30860000025179,-71.06740000182147,"(42.30860000025179, -71.06740000182147)"
8641,V217097,1013,2015-10-19 15:45:08,Closed,116.2,N/A,Unsafe and Dangerous,47,49,Savin Hill,AV,Dorchester,MA,02125,15,70 Meadow Brook Road,,WESTON,MA,02493,169511,42.312693942978946,-71.05657874596163,"(42.312693942978946, -71.05657874596163)"
8642,V219911,1013,2015-10-19 15:42:40,Closed,105.1,N/A,Failure to Obtain Permit,84,,Olney,ST,Dorchester,MA,02121,15,"84 Olney Street, Unit 1",,Dorchester,MA,02121,105322,42.305369999945,-71.07254000192887,"(42.305369999945, -71.07254000192887)"
8643,V220336,1013,2015-10-19 15:35:50,Closed,104.6,N/A,Right of Entry,102,,Homes,AV,Dorchester,MA,02122,15,102 HOMES AVE,,DORCHESTER,MA,02122,75005,42.303579999201574,-71.06686000111021,"(42.303579999201574, -71.06686000111021)"
8644,V218734,1013,2015-10-19 15:32:02,Closed,105.1,N/A,Failure to Obtain Permit,5,,Everett,AV,Dorchester,MA,02125,13,5 EVERETT AVE,C/O JAMES RAMIREZ #1,DORCHESTER,MA,02125-2022,165121,42.31586428350416,-71.0630852333053,"(42.31586428350416, -71.0630852333053)"
8645,V218733,1013,2015-10-19 15:28:36,Closed,105.1,N/A,Failure to Obtain Permit,7,,Everett,AV,Dorchester,MA,02125,13,5 EVERETT AVE,C/O JAMES RAMIREZ #1,DORCHESTER,MA,02125-2022,165122,42.31581298736852,-71.06311062131259,"(42.31581298736852, -71.06311062131259)"
8646,V247679,1013,2015-10-19 15:27:08,Closed,104.6,N/A,Right of Entry,17,,Taft,ST,Dorchester,MA,02125,13,3 OAKWOOD LN,,WEST BRIDGEWATER,MA,02379,133589,42.31742000008855,-71.05764000141701,"(42.31742000008855, -71.05764000141701)"
8647,V233106,1013,2015-10-19 15:24:28,Closed,105.1,N/A,Failure to Obtain Permit,178,,Fourth,ST,South Boston,MA,02127,06,836 EAST THIRD STREET,,SOUTH BOSTON,MA,02127,345925,42.340258999682575,-71.05474100143647,"(42.340258999682575, -71.05474100143647)"
8648,V237860,1013,2015-10-19 15:20:30,Closed,3307.1,N/A,Protection of Adj. Property,179,,Gold,ST,South Boston,MA,02127,06,"423 West Broadway, Suite 404",,South Boston,MA,02127,65069,42.33715999964715,-71.051240000554,"(42.33715999964715, -71.051240000554)"
8649,V221953,1013,2015-10-19 15:18:54,Closed,3307.1,N/A,Protection of Adj. Property,20,,F,ST,South Boston,MA,02127,06,133 MERRIMACK ST,,Lowell,MA,01852,55429,42.333849999710736,-71.05146000053905,"(42.333849999710736, -71.05146000053905)"
8650,V239112,1013,2015-10-19 15:10:21,Closed,105.1,N/A,Failure to Obtain Permit,43,,Dakota,ST,Dorchester,MA,02124,17,43 DAKOTA ST,,DORCHESTER,MA,02124-1219,45633,42.2989300002163,-71.07076000087011,"(42.2989300002163, -71.07076000087011)"
8651,V248371,1013,2015-10-19 15:08:32,Closed,105.1,N/A,Failure to Obtain Permit,4,,Lorenzo,ST,Dorchester,MA,02122,16,862 EAST FIFTH STREET,,SOUTH BOSTON,MA,02127,87275,42.286939999652255,-71.04155000109958,"(42.286939999652255, -71.04155000109958)"
8652,V218087,1013,2015-10-19 15:07:15,Closed,105.1,N/A,Failure to Obtain Permit,78,,Taylor,ST,Dorchester,MA,02122,16,78 Taylor Street,,Dorchester,MA,02122,133927,42.28785999979294,-71.0394700011415,"(42.28785999979294, -71.0394700011415)"
